offense_type_id,year,state,num_arrests,total_arrests_that_year,perc_tot_arrests
23,2004,MA,5285,50284,0.105103015
44,2017,CT,4167,39975,0.10424015
23,2006,AZ,163,1584,0.10290404
27,2014,MA,6706,65425,0.102499045
5,2017,AZ,771,7554,0.102065131
27,2005,MA,5879,57784,0.101740966
27,2011,MA,7089,69868,0.101462758
23,2007,AR,4025,39741,0.101280793
44,2012,CT,3846,38194,0.100696444
5,2015,AZ,679,6755,0.100518135
16,2002,AR,196,1950,0.100512821
23,2011,MA,6982,69868,0.099931299
51,2001,AR,245,2452,0.099918434
44,2016,CT,3880,38905,0.099730112
5,2016,AZ,650,6557,0.0991307
23,2018,AR,6525,66118,0.098687196
27,2006,MA,5974,60545,0.09867041
5,2018,AZ,709,7249,0.097806594
35,2010,AZ,508,5196,0.097767513
23,2008,CT,4566,46817,0.097528675
23,2007,CT,3411,35110,0.097151809
23,2018,MA,5186,53546,0.096851305
5,2007,AZ,181,1880,0.096276596
27,2013,MA,6674,69368,0.09621151
27,2008,MA,7338,76365,0.096091141
27,2007,MA,6380,66532,0.095893705
5,2004,AZ,115,1202,0.095673877
23,2017,MA,5475,57296,0.095556409
44,2014,CT,3397,35703,0.095146066
5,2013,AZ,667,7017,0.095054867
23,2008,MA,7258,76365,0.095043541
27,2012,MA,6632,70084,0.094629302
44,2007,CT,3321,35110,0.094588436
35,2011,AZ,477,5101,0.093511076
44,2015,CT,3247,34965,0.092864293
23,2005,MA,5348,57784,0.092551571
23,2001,AR,226,2452,0.092169657
35,2009,AZ,433,4707,0.091990652
44,2013,CT,3358,36809,0.091227689
44,2002,CT,2170,23946,0.090620563
44,2005,CT,2961,32783,0.090321203
23,2007,MA,5976,66532,0.089821439
27,2002,AR,173,1950,0.088717949
23,2006,CT,2596,29297,0.088609755
35,2012,AZ,420,4742,0.088570224
44,2004,CT,2994,34008,0.088038109
16,1993,CO,135,1534,0.088005215
23,2005,CT,2877,32783,0.087758899
44,2003,CT,2445,27941,0.087505816
44,2008,CT,4096,46817,0.087489587
44,2006,CT,2563,29297,0.08748336
5,2008,AZ,173,1978,0.087462083
23,2017,AR,5291,60711,0.087150599
44,2011,CT,3588,41180,0.087129675
23,2004,CT,2961,34008,0.087067749
23,2007,AZ,163,1880,0.086702128
5,2005,AZ,173,1998,0.086586587
5,2014,AZ,630,7281,0.086526576
44,2010,CT,3751,43523,0.086184316
49,1992,AL,228,2671,0.085361288
44,2009,CT,3810,44723,0.085191065
23,2006,MA,5143,60545,0.084945082
35,2005,CO,6520,78835,0.082704383
5,1999,CT,526,6363,0.082665409
23,2006,AR,3017,36576,0.082485783
35,2008,AZ,162,1978,0.08190091
5,2012,AZ,387,4742,0.081611135
5,2011,AZ,414,5101,0.081160557
35,2007,AZ,152,1880,0.080851064
5,2006,AZ,127,1584,0.080176768
35,2017,AL,77,967,0.079627715
45,2012,AR,4486,56411,0.079523497
35,2018,AL,11,140,0.078571429
5,1998,CO,3998,51040,0.078330721
5,2000,CO,3653,46930,0.077839335
5,1997,CO,3728,48132,0.077453669
51,2002,AR,151,1950,0.077435897
35,2018,AR,5107,66118,0.077240691
5,1993,CO,118,1534,0.076923077
5,2010,AZ,399,5196,0.076789838
45,2011,AR,4179,54591,0.07655108
23,2003,AR,1143,14975,0.076327212
5,2001,CO,3094,40565,0.076272649
23,2005,AZ,152,1998,0.076076076
5,1999,CO,3379,44458,0.076004319
35,2017,AR,4603,60711,0.075818221
49,2003,AR,1128,14975,0.075325543
5,2009,AZ,354,4707,0.075207138
45,2013,AR,3979,53050,0.075004713
35,2016,AL,65,870,0.074712644
35,2006,AZ,118,1584,0.074494949
27,2003,AR,1101,14975,0.073522538
5,2002,CO,2931,39918,0.073425522
45,2014,AR,3802,51925,0.073220992
45,1999,CT,461,6363,0.072450102
35,2016,AR,4385,61211,0.071637451
45,2003,AR,1062,14975,0.070918197
44,2001,CT,1655,23358,0.070853669
45,2010,AR,3853,54934,0.070138712
23,2004,AZ,84,1202,0.069883527
5,2003,CO,3227,46225,0.069810708
27,2001,AR,171,2452,0.069738989
5,2008,CO,5463,78504,0.069588811
48,2018,MA,3711,53546,0.069304897
53,2004,AZ,83,1202,0.069051581
27,2018,CO,6633,97234,0.068216879
5,2010,CO,5164,75757,0.068165318
5,1994,CO,37,543,0.068139963
45,2008,AR,3246,47926,0.067729416
27,2006,AR,2474,36576,0.067639983
45,2014,CO,6181,92163,0.067065959
5,2011,CO,5170,77660,0.066572238
48,2017,MA,3805,57296,0.066409522
5,2006,CO,5036,76121,0.066157828
35,2012,CO,5713,86528,0.066024871
5,2009,CO,5121,77723,0.065887832
27,2005,AR,2310,35143,0.06573144
27,2015,AR,3781,57544,0.065706242
5,2004,CO,3516,53749,0.065415171
5,2007,CO,4801,73811,0.065044506
45,2015,AR,3725,57544,0.064733074
48,2015,MA,3898,60395,0.064541767
27,2016,AR,3946,61211,0.064465537
27,2018,AR,4258,66118,0.064400012
48,2016,MA,3904,60669,0.064349173
35,2007,CO,4748,73811,0.064326455
49,2008,AR,3069,47926,0.064036223
27,2017,AR,3879,60711,0.063892869
27,2017,CO,6254,98112,0.063743477
5,2013,CO,5385,84486,0.063738371
45,2006,AR,2321,36576,0.063456912
27,2007,AR,2520,39741,0.063410584
27,2011,AR,3451,54591,0.063215548
49,2006,AR,2306,36576,0.063046807
27,2010,AR,3441,54934,0.062638803
16,1994,CO,34,543,0.062615101
27,2012,AR,3531,56411,0.062594175
27,2004,AR,1857,29703,0.062518937
44,2000,CT,914,14625,0.062495726
35,2013,AL,90,1445,0.062283737
45,2015,CO,5928,95529,0.062054455
27,2008,AR,2974,47926,0.062054
45,2013,CO,5213,84486,0.061702531
45,2007,AR,2444,39741,0.061498201
45,2013,CT,2261,36809,0.061425195
27,2014,AR,3187,51925,0.061376986
27,2006,AZ,97,1584,0.061237374
48,2001,AR,150,2452,0.061174551
5,2015,CO,5843,95529,0.061164673
45,2016,CO,5969,97769,0.061052072
5,2012,CO,5279,86528,0.061009153
5,2016,CO,5950,97769,0.060857736
35,2006,CO,4615,76121,0.060627159
53,2005,AZ,121,1998,0.060560561
45,2009,AR,3415,56428,0.0605196
5,2017,CO,5913,98112,0.060267857
27,2009,AR,3393,56428,0.060129723
35,2008,CO,4716,78504,0.060073372
35,2011,CO,4664,77660,0.060056657
45,2016,AR,3663,61211,0.059842185
5,2014,CO,5505,92163,0.059731129
45,2018,AR,3933,66118,0.059484558
49,2004,AR,1755,29703,0.059084941
35,2008,AL,71,1203,0.059019119
27,1994,CO,32,543,0.05893186
27,2006,CO,4475,76121,0.058787982
35,2009,CO,4567,77723,0.058759955
27,1992,CO,114,1941,0.058732612
45,1991,AL,232,3962,0.058556285
5,2005,CO,4613,78835,0.058514619
45,2005,AR,2056,35143,0.058503827
48,2014,MA,3823,65425,0.058433321
45,2014,CT,2085,35703,0.058398454
27,2013,AR,3098,53050,0.058397738
35,2004,CO,3124,53749,0.058122012
27,2010,CO,4375,75757,0.057750439
27,2009,CO,4483,77723,0.057679194
27,2008,CO,4525,78504,0.057640375
45,2004,AR,1711,29703,0.057603609
49,2011,AR,3143,54591,0.057573593
16,1992,CO,111,1941,0.057187017
45,2017,AR,3448,60711,0.056793662
35,2010,CO,4292,75757,0.056654831
5,2018,CO,5507,97234,0.056636567
45,2000,CT,827,14625,0.056547009
45,2010,CO,4256,75757,0.056179627
49,2005,AR,1972,35143,0.056113593
49,2007,AR,2230,39741,0.056113334
49,2009,AR,3156,56428,0.05592968
48,2013,MA,3877,69368,0.055890324
45,2012,CT,2131,38194,0.055794104
27,2016,CO,5450,97769,0.055743641
45,2001,CT,1302,23358,0.055741074
35,2015,AR,3195,57544,0.05552273
27,2000,CT,811,14625,0.055452991
45,2012,CO,4781,86528,0.055253791
27,2007,CO,4060,73811,0.055005352
45,2006,CT,1610,29297,0.054954432
49,2012,AR,3093,56411,0.054829732
48,2008,MA,4183,76365,0.054776403
27,1993,CO,84,1534,0.054758801
45,2013,MA,3796,69368,0.054722639
45,2018,CO,5320,97234,0.054713372
44,2001,AR,134,2452,0.054649266
48,2011,MA,3811,69868,0.054545715
48,2012,MA,3804,70084,0.054277724
45,2012,MA,3798,70084,0.054192112
44,2012,AR,3057,56411,0.054191558
45,2011,MA,3784,69868,0.054159272
35,2014,AR,2803,51925,0.053981704
45,2014,MA,3528,65425,0.053924341
45,2017,CO,5287,98112,0.053887394
35,2007,AL,64,1190,0.053781513
5,2000,CT,785,14625,0.053675214
27,2002,CO,2140,39918,0.0536099
35,2006,AL,73,1362,0.053597651
44,2010,AR,2927,54934,0.05328212
27,2005,CO,4198,78835,0.05325046
45,2007,AZ,100,1880,0.053191489
49,2013,AR,2817,53050,0.053100848
45,2011,CO,4116,77660,0.053000258
35,2011,AL,65,1227,0.052974735
5,2001,MA,2035,38446,0.052931384
35,2003,CO,2444,46225,0.052871823
44,2011,AR,2865,54591,0.052481178
48,2009,MA,3684,70221,0.052462938
40,1992,AL,140,2671,0.052414826
48,2010,MA,3718,71228,0.052198574
49,2010,AR,2867,54934,0.052189901
44,2013,AR,2766,53050,0.052139491
45,2008,CT,2421,46817,0.051711985
27,2011,CO,3998,77660,0.051480814
27,1998,CT,44,856,0.051401869
49,1998,CT,44,856,0.051401869
45,2015,MA,3098,60395,0.051295637
44,2014,AR,2658,51925,0.051189215
44,2006,AZ,81,1584,0.051136364
45,2005,CT,1673,32783,0.051032547
27,2004,CO,2734,53749,0.050866063
5,2000,MA,1653,32548,0.050786531
27,2015,CO,4848,95529,0.050748987
45,2008,CO,3967,78504,0.050532457
44,2007,AR,2003,39741,0.050401349
5,2001,CT,1171,23358,0.050132717
44,2018,AR,3310,66118,0.05006201
11,2018,AL,7,140,0.05
27,2007,AZ,94,1880,0.05
27,2013,CO,4222,84486,0.049972777
27,2001,CO,2020,40565,0.049796623
45,2002,MA,1980,39767,0.049790027
45,2001,MA,1913,38446,0.049758102
48,2007,MA,3305,66532,0.049675344
45,2001,CO,2009,40565,0.049525453
44,1999,CT,315,6363,0.04950495
45,2015,CT,1727,34965,0.049392249
5,2006,MA,2990,60545,0.049384755
27,2012,CO,4260,86528,0.049232618
44,2009,AR,2775,56428,0.049177713
27,2004,AZ,59,1202,0.049084859
45,2004,CT,1667,34008,0.049017878
44,2017,AR,2970,60711,0.048920295
45,2003,MA,1998,40857,0.048902269
5,2003,MA,1995,40857,0.048828842
45,2009,CO,3795,77723,0.048827245
45,2016,MA,2961,60669,0.048805815
45,2000,MA,1588,32548,0.04878948
5,2002,MA,1936,39767,0.048683582
35,2000,CO,2281,46930,0.048604304
27,2014,CO,4477,92163,0.048576978
35,2013,AR,2574,53050,0.048520264
35,2002,CO,1936,39918,0.048499424
45,2000,CO,2274,46930,0.048455146
35,2013,CO,4087,84486,0.048374879
49,2010,MA,3445,71228,0.048365811
45,2007,CT,1693,35110,0.04821988
5,2005,CT,1578,32783,0.048134704
49,2011,MA,3359,69868,0.048076373
35,2001,CO,1945,40565,0.047947738
49,2009,MA,3364,70221,0.047905897
44,2008,AR,2294,47926,0.047865459
5,2002,AR,93,1950,0.047692308
45,2011,CT,1962,41180,0.047644488
5,2003,CT,1331,27941,0.04763609
45,2017,CT,1902,39975,0.047579737
44,2016,AR,2908,61211,0.047507801
40,1991,AL,188,3962,0.047450782
45,1997,CO,2282,48132,0.047411286
27,2003,CO,2191,46225,0.047398594
49,2001,MA,1821,38446,0.047365136
45,2006,AZ,75,1584,0.047348485
35,2017,CO,4634,98112,0.047231735
48,2002,AR,92,1950,0.047179487
27,1999,CT,300,6363,0.047147572
27,2001,CT,1101,23358,0.047135885
49,2012,MA,3294,70084,0.047000742
49,2002,MA,1868,39767,0.046973621
44,2006,AR,1713,36576,0.04683399
35,2014,CO,4315,92163,0.046819222
5,1998,CT,40,856,0.046728972
5,2007,MA,3096,66532,0.046533999
45,1992,AL,124,2671,0.04642456
11,2000,AR,23,496,0.046370968
45,2017,MA,2651,57296,0.0462685
45,2009,MA,3238,70221,0.046111562
45,2016,CT,1788,38905,0.045958103
35,2009,AL,66,1441,0.045801527
35,2018,CO,4453,97234,0.045796738
44,2015,AR,2633,57544,0.045756291
45,2004,MA,2297,50284,0.045680535
49,2003,MA,1865,40857,0.045647013
45,2010,MA,3251,71228,0.045642163
5,2002,CT,1092,23946,0.045602606
5,2004,MA,2290,50284,0.045541325
35,2016,CO,4444,97769,0.045454081
27,2000,CO,2132,46930,0.045429363
45,1999,CO,2018,44458,0.045391156
5,2010,MA,3228,71228,0.045319256
45,2002,CO,1806,39918,0.045242748
48,2006,MA,2736,60545,0.045189528
49,2004,MA,2262,50284,0.044984488
45,2011,AZ,229,5101,0.044893158
44,2016,AL,39,870,0.044827586
49,2007,MA,2980,66532,0.044790477
44,2002,AR,87,1950,0.044615385
39,2017,AL,43,967,0.044467425
5,2004,CT,1512,34008,0.044460127
49,2008,MA,3393,76365,0.044431349
44,2003,AR,664,14975,0.044340568
5,2009,MA,3111,70221,0.044302986
45,2010,CT,1927,43523,0.044275441
48,2004,AZ,53,1202,0.044093178
27,2014,AZ,321,7281,0.044087351
5,2006,CT,1286,29297,0.043895279
45,2008,MA,3326,76365,0.043553984
5,2008,MA,3318,76365,0.043449224
45,2012,AZ,206,4742,0.043441586
5,2008,CT,2032,46817,0.043403037
5,2012,MA,3030,70084,0.043233834
44,2005,AR,1518,35143,0.043194946
48,2005,MA,2487,57784,0.043039596
35,2015,CO,4110,95529,0.043023584
5,2011,MA,3005,69868,0.043009675
44,2012,AL,52,1214,0.042833608
27,2012,CT,1634,38194,0.042781589
49,2013,MA,2964,69368,0.042728636
49,2014,AR,2206,51925,0.042484352
49,2012,CT,1622,38194,0.042467403
35,2010,AL,58,1371,0.042304887
49,2005,MA,2439,57784,0.042208916
27,1998,CO,2153,51040,0.042182602
45,2006,MA,2550,60545,0.042117433
5,2018,MA,2252,53546,0.042057297
27,2011,CT,1731,41180,0.042034968
45,2004,CO,2250,53749,0.041861244
49,2006,MA,2528,60545,0.041754067
49,2000,MA,1355,32548,0.041630822
27,1999,CO,1843,44458,0.041454856
45,2003,CT,1158,27941,0.041444472
5,2016,MA,2513,60669,0.041421484
23,2017,AL,40,967,0.041365047
45,2009,CT,1848,44723,0.041321021
5,2017,MA,2362,57296,0.041224518
